#{"t_start": 1680186251.3110938, "env_id": null}
r,l,t
-50,2150,3.695703
-40,2886,12.564373
-128,2196,20.599987
-217,3000,25.620172
-210,2753,34.631877
27,2177,42.807461
-161,2502,46.870715
-227,2122,54.492589
-289,1567,61.321581
1,2075,64.463465
130,2465,72.662509
-192,3007,82.093462
3927.0,6468,97.611361
-109,1823,104.996175
200,1820,112.333123
-300,2478,116.020238
-42,2351,124.010789
-263,1990,127.212089
-351,1486,134.405471
-225,2611,143.112158
-56,3290,153.69294
-65,2138,157.640509
62,3161,167.244644
-189,2652,175.720904
224,2138,179.193385
-48,3706,189.4923
-209,3172,199.319699
-98,2059,207.148574
51,2787,216.523835
-88,3218,225.952495
-263,1828,228.707771
-38,2328,236.642072
7,3179,245.83899
-133,2421,249.558141
-296,1684,256.702009
-211,2881,266.1996
-261,1710,269.33675
-176,1974,277.229695
184,1310,279.58493
218,2222,288.236686
-229,2460,291.904952
-345,2510,299.876746
-345,2510,302.781091
-345,2510,305.701696
-345,2510,308.687105
-345,2510,311.624716
-345,2510,314.566203
-345,2510,317.608539
-345,2510,320.618201
-345,2510,323.649133
-345,2510,326.561072
