#{"t_start": 1680229914.098205, "env_id": null}
r,l,t
-252,1808,5.400605
-106,2825,10.66273
-262,2425,15.685293
16,2353,20.066679
270,1010,21.921075
-59,2478,26.415111
-37,2894,31.856985
-2,2800,36.948652
-245,2013,40.527157
-60,1955,44.032288
-251,1696,47.031101
-254,2449,52.096722
-42,2842,57.74365
19,3624,65.00899
84,2954,115.771492
-189,2204,119.829074
-98.0,6591,133.239088
-299,1838,136.898152
94,2488,141.366184
-155,2380,145.602356
-180,1831,148.89832
49,3271,154.569181
-2,2118,158.310195
-184,3160,163.860069
-69,2620,168.301854
-89,2582,172.816635
-111,2237,177.105714
-127,3104,227.913796
-57,2430,232.52585
11,3721,240.146369
-344,1811,243.626609
72,1591,246.422759
-71,2913,252.065847
-72,2723,257.3234
-240,2799,262.732385
70,2565,267.732592
-343,2099,271.754618
70,2375,276.315454
14,3600,283.255981
-27,2360,287.884329
-60,3303,294.489859
44,1913,349.049179
-28,2594,353.407578
-285,1902,356.653306
-7,3073,361.780741
-252,2481,366.04752
24,2859,370.965881
-96,2795,375.676218
6,2154,379.363775
-264,1790,382.362342
167,2139,385.957565
-172,2650,390.495156
158,3147,395.804247
-295,1844,398.978408
-243,2452,403.236286
-30,2839,452.907418
-280,1052,454.456544
-156,2859,459.051392
-162,2709,463.566116
35,2827,468.804988
-173,1988,472.913758
-198,1761,476.360694
-122,2518,481.550796
188,927,483.550377
-47,3186,490.275249
-29.0,5235,500.506429
-284,2081,504.095439
-100,2304,508.019503
-64,3202,513.58357
-216,2600,518.094492
-166,1911,565.450853
-50,3179,570.659671
-45,2318,574.565784
-306,2186,578.329355
109,2104,581.921559
-227,2269,585.803821
-267,1583,588.865762
-28,3088,595.210232
-29,3004,601.368857
-96,1957,605.544215
3,3803,613.350252
16,2436,617.963299
-347,1644,620.784424
-50,3012,626.073731
-39,3181,675.9049
-101,2845,680.690686
-346,1630,683.445182
-297,2202,687.193828
-209,1359,689.506888
-129,1730,692.451563
-102,2633,696.916583
-16,3411,702.711922
-101,2707,707.374703
-32,2442,712.093376
-59,2687,717.742998
32,2233,722.295741
-328,2210,726.818805
192,2576,732.227402
-209,2488,737.171631
-112,2090,784.470507
-240,1675,787.652845
-227,1785,791.314399
-237,2710,796.958855
-173,1890,800.130053
8,2429,804.197626
-302,2654,808.637604
-251,2764,813.257995
-88,2917,818.159901
-24,2132,821.77366
132,1694,824.630059
-340,1287,826.866269
-119,3421,833.970419
-287,2009,838.207689
-15,2842,844.225844
-221,1972,848.418935
127,2634,898.722095
-26,1726,902.091305
-203,2637,907.088157
-227.0,6009,918.30386
-262,2209,922.102597
-87,2019,925.551758
-151,2415,929.7305
-293,2131,933.658948
4097.0,5570,943.745676
-55,2442,948.096123
-190,1426,950.673406
-212,2222,954.74135
-215,2183,958.757487
-4,2185,1006.963696
-80,2748,1011.795731
13,2301,1015.983526
-137,2800,1021.33784
-258,1937,1025.045475
71,1760,1028.365387
-50,3143,1033.940649
-225,2603,1038.891894
-23,2928,1045.05456
3,2744,1050.456916
-26,3592,1058.150948
254,1211,1060.57277
-267,1998,1064.650494
-28,2132,1069.100319
-106,2030,1073.330676
-76,2847,1125.467424
-215,1782,1128.770547
-238,2200,1133.406329
-339,1647,1137.134799
-154,2714,1143.107978
-252,2563,1148.721167
-263,2340,1153.907991
63,2668,1158.521719
-205,2403,1162.760953
-300,1536,1165.492011
-142.0,7246,1178.432011
351,540,1179.395387
-10,2537,1183.914829
-203,2178,1187.939889
-35,3502,1238.081487
-2,2271,1242.138929
-68,3171,1247.92829
-144,2314,1252.264063
-346,2298,1256.664232
103,3172,1262.843666
12,2966,1268.672483
-26,3081,1274.542881
-121,2259,1279.018722
-249,1830,1282.345738
-237,2160,1286.204682
-260,1868,1289.62043
-262,2084,1293.438675
-186,1970,1296.972511
-176,2053,1300.604724
-84,2862,1355.292153
-247,3222,1360.918117
-41,3036,1366.082022
-128,2596,1370.618746
-227,1590,1373.515795
7,3070,1378.974956
-235,1776,1382.14513
-170,2491,1386.635147
-52,2187,1390.452241
-23,2966,1395.782006
89,2949,1400.950467
-261.0,5961,1411.733739
-40,2956,1464.314937
244,867,1465.767354
5,2664,1470.532535
-242,1756,1473.764108
26,1953,1477.11508
93,3550,1483.747755
-57,2474,1488.52471
-46,2382,1493.448474
71,2256,1498.280169
-258,2091,1502.677947
-148,2696,1508.052304
-72,2459,1513.075772
-23,2378,1517.54586
51,2356,1521.698633
-234,2066,1525.171091
-132,2315,1529.38865
10,2435,1578.907397
-255,2612,1583.419565
-196,2296,1587.375795
64,3498,1593.456733
-290,2391,1597.549795
7,2915,1602.577732
13,2015,1605.7694
-258,1557,1608.256353
-22,2602,1612.704275
13,2677,1617.345612
237,1610,1620.131257
229,1852,1623.386986
215,2830,1628.463224
-256,2734,1633.078832
1,1832,1636.462932
-304,1262,1684.220942
-222,1794,1687.299206
-3,2582,1692.106144
-203,2465,1696.75911
-252,1608,1699.614403
-348,1334,1701.885941
-242,1736,1704.90497
157,2282,1708.702678
112,1831,1711.820106
-128,3379,1717.831114
242,722,1719.100924
-213,1682,1721.969807
-256,1932,1725.41575
-92,2775,1730.292673
-12.0,7510,1743.334839
-230,1640,1794.320507
-185,2571,1798.992969
-222,1962,1802.993142
-2,3099,1808.712548
-208,2160,1812.269588
-188,2615,1816.824177
-186,2426,1821.143391
-230,2195,1824.90222
-34,2757,1829.72536
-240,2701,1834.459892
93,3766,1841.043177
-208,2697,1845.803722
-308,1832,1848.94321
-164,2740,1853.738456
-68,1935,1900.39817
-145,2666,1904.496195
-266.0,6967,1917.974949
-254,2280,1922.821459
-130,2951,1928.950337
-195,2363,1933.806695
-129,2938,1939.343292
-181,2116,1943.07157
-164,1520,1945.784461
-296,2162,1949.553203
-121,2073,1953.20826
-55,2992,1958.476114
-149,2617,1963.053209
58,2590,2012.096147
-246,1854,2015.033227
-15,3299,2020.535252
-192,2490,2024.850985
115,2212,2029.082137
-238,2232,2033.613222
11,2888,2039.266445
-249,2477,2043.997737
-79,2660,2049.334031
-227,2265,2053.538808
-128,2774,2058.653505
-69,1899,2061.908495
-306,1621,2064.832511
91,1678,2067.722205
-297,1690,2070.671174
-204,1706,2073.495159
-5,2705,2125.542948
-322,1798,2128.707677
-268,1524,2131.490357
-33,2843,2136.50482
-192,2258,2140.52171
-202,2089,2144.230305
-89,1637,2147.177284
128,1449,2149.965558
-350,2624,2154.903758
-264,1966,2158.853893
-118,1479,2161.630621
-27,3600,2168.691062
-259,2550,2173.425355
62,3058,2179.149167
-250,2034,2182.820958
-106,2588,2187.624969
-44,3254,2240.713351
-48,3250,2246.107893
22,2232,2249.812686
-249,1976,2253.059842
-271,1924,2256.38922
-5,2581,2260.708773
-187,2791,2265.445887
-310,2141,2269.051506
-70,2220,2273.021522
-147,2408,2277.476046
-133,2234,2281.571451
-177,2492,2286.118792
-222,1935,2289.787917
-277,1872,2293.184098
-146,2617,2298.013276
-290,1736,2348.372261
46,3597,2354.560581
-194,2034,2358.144939
-12,2816,2363.343669
-116,2780,2368.320947
-29,3304,2374.307193
-144,2954,2379.480702
-264,2244,2383.276359
-307,1735,2386.287395
103,2988,2391.817952
-30,2933,2397.210584
-198,2616,2402.147916
-270,2687,2407.011413
44,2553,2459.815234
-294,1106,2461.668619
-292,1463,2464.220654
-281,2471,2468.460888
-1,3294,2474.14262
-160,2088,2477.738907
-7,2453,2481.997097
-9,2532,2486.362551
-275,1788,2489.446151
-308,1947,2492.814813
-52,3228,2498.190176
300,995,2499.673282
-352,2550,2503.999249
-338,1637,2506.903293
210,1571,2509.839912
-15,2820,2515.331723
-109,2546,2520.157193
-143,2497,2570.163863
32,2179,2574.616233
-48,2680,2580.237613
-226,2584,2586.120149
5029.0,5395,2597.631196
-44,2301,2602.256724
-212,2056,2606.5812
-200,2913,2612.53997
-273,1844,2616.158647
297,1088,2618.207147
-36,2527,2623.222524
-212,2273,2627.340715
-176,2264,2631.824466
104,2763,2637.357247
-257,2260,2690.560008
30,2240,2694.421004
4,3650,2700.921568
-322,1892,2704.318774
-76,2971,2709.561147
-242,1660,2712.499424
-157,2548,2717.179907
14,2604,2721.877263
-223,2354,2725.831963
269,1173,2727.927057
-194,2686,2732.596607
2881.0,5333,2741.979446
-270,1924,2745.482915
-28,2640,2750.264589
-64,2674,2801.877403
132,2478,2806.059932
-4,2916,2811.64261
-217,1610,2814.863051
-88,3040,2820.441859
-334,1440,2823.017994
-296,2032,2826.594363
-179,2374,2830.895721
150,1938,2834.353116
-130,2623,2839.03596
55,3009,2844.375786
22,2654,2849.097058
-80,2846,2854.346967
167,2195,2858.17451
-258,2098,2861.924968
-179,2420,2914.312895
-309,2272,2918.661451
-40,3789,2925.074276
-63,1930,2928.663
-128,2800,2934.41626
39,1824,2938.306462
-158,2274,2942.824785
-141,2354,2947.717977
152,2793,2953.776395
-262,2311,2958.333013
233,2592,2962.972191
-289,1682,2965.985596
-211,1750,2969.039613
-340,1634,2971.944431
-4,2399,2976.32233
240,1190,2978.406402
220,1464,3025.419247
-48,2350,3029.311409
-144,2320,3033.533911
-283,1795,3036.797486
-181,1992,3040.447426
-75,2283,3044.615131
-158,2909,3049.974679
171,2298,3054.330106
-8,2638,3059.201005
-3,2992,3064.782925
-5,3333,3071.079428
-346,972,3072.890712
-127,2925,3078.233154
20,2916,3083.538437
-81.0,5813,3139.724396
-267,1883,3142.912095
82,2089,3146.643197
-121,2350,3150.837932
-228,2951,3155.974167
0,2479,3160.335043
-250,1576,3163.072721
-201,1748,3166.106157
-256,2420,3170.709129
-51,3522,3177.341143
-20,3174,3183.189954
-36,3109,3188.887407
-259,2293,3193.149128
-95,3111,3198.856428
-108,2370,3246.801302
-213,2144,3250.885405
16,2707,3256.428036
-71,2879,3261.579763
-352,2330,3265.589694
-348,1861,3268.806288
-159,2327,3272.887168
187,2202,3276.643176
-93,2807,3281.970386
-233,2971,3287.390421
-42,2957,3293.580212
-127,2221,3298.415077
-122,2874,3304.476801
-227,2109,3308.869826
-75,2210,3313.783716
-259,2473,3362.292703
-101,1995,3366.512008
-29,3349,3373.758947
-167,2588,3378.800083
-352,1623,3381.754274
-44,2593,3386.240759
-215,2386,3390.310156
173,2739,3395.025167
-66,2940,3400.373249
-2,3875,3407.571259
-189.0,6266,3420.084552
-63,2728,3425.331905
5,3676,3477.454098
-101,2782,3482.988801
2,2985,3488.867821
-3,3565,3496.021278
-242,1748,3499.187167
33,2119,3502.752073
-35,3433,3508.94211
43,3340,3514.874332
-349,2069,3518.306011
1,3425,3524.090571
-346,1567,3526.746666
-198,2778,3531.453272
-262,1704,3534.756314
-73,2237,3584.083402
-278,1253,3586.119075
-14,2929,3591.758802
-290,1692,3594.957567
-161,2853,3600.818242
100,1133,3603.010625
-111.0,6892,3616.735912
-297,2880,3622.205653
-157,2072,3625.955026
-308,1778,3629.242251
-310,2048,3633.059808
-260,2182,3636.846116
