#{"t_start": 1680577201.635132, "env_id": null}
r,l,t
0.517049,1217,4.197745
0.718659,1034,5.697015
0.618338,748,6.920976
0.480607,1411,9.425264
0.487443,1624,12.316793
0.16923,2073,15.984169
0.34258,1988,29.735386
0.307404,2128,34.113894
0.524784,1366,37.005667
0.284527,1923,41.069882
0.043028,1063,53.345574
0.456394,1530,55.709616
-0.079274,2504,60.153251
0.569831,1494,62.781357
0.295153,1845,66.016562
0.311404,1939,79.237397
0.543399,1068,80.982861
-0.162677,1011,82.850329
0.260527,1576,85.499347
0.163883,2707,90.098924
-0.335,608,101.49608
0.340495,1861,104.601814
0.174495,1408,107.310611
0.046994,1533,110.352843
0.069305,2787,115.455173
-0.011942,1166,127.408902
0.499113,1378,129.512156
0.468216,1944,133.221178
0.300206,2136,136.880262
-0.344,1445,139.528157
0.089139,1491,152.573515
0.006139,2694,157.800156
-0.099708,945,159.721347
0.586689,1848,163.487041
-0.026295,1594,166.756116
0.506054,1081,178.466649
0.301206,3167,183.724507
-0.042041,1392,186.136086
0.620239,1191,188.003523
-0.018771,1034,189.842154
0.595406,1266,202.535173
0.293206,1813,205.857839
0.347119,1682,208.87808
0.233384,2106,213.138132
0.188014,1279,215.807527
0.200059,1448,228.892726
-0.018345,659,230.07427
0.239692,1111,232.197562
0.281799,2605,236.718053
0.104668,1507,239.450644
0.27322,1849,253.36409
0.090668,1241,255.256439
0.478542,1952,258.672869
-0.169979,1664,261.62492
0.299153,1220,264.074272
0.124792,1887,278.159782
0.250589,1136,280.31614
0.538724,1667,283.608424
0.089668,1711,286.762413
0.32445,1695,290.064136
0.624183,1294,292.631576
0.293863,1936,306.038916
0.338773,1972,309.321796
0.36397,2187,313.234781
0.503678,2247,317.215487
-0.000357,2161,331.330989
0.452734,1238,333.788888
-0.106133,1626,337.132599
-0.216034,985,338.865824
0.161515,3399,355.226085
-0.116,2254,358.878617
0.501585,1605,361.789395
0.328621,3888,378.812001
-0.074591,913,380.164083
0.298206,1783,383.305446
0.446521,2219,387.991029
-0.134121,3595,405.279121
-0.117,1443,408.022504
-0.168791,942,409.988892
-0.224029,1772,413.428313
0.294153,1672,416.457088
0.26522,2361,430.924273
0.20223,1430,433.152574
0.287734,1133,435.142847
0.270598,1926,438.43171
0.089668,1101,440.363197
0.514545,1678,443.515344
0.623748,966,455.497985
0.485577,2104,459.426568
-0.078591,1487,462.335821
0.344908,2090,466.208006
-0.132189,1399,468.915935
-0.003598,1087,480.788554
0.485356,1788,483.709647
0.222488,1858,486.957328
0.549706,1495,489.471737
0.000643,1848,492.822415
0.106028,1624,505.528778
0.578957,1493,508.407739
0.514865,1868,512.069174
0.149564,3076,518.237521
-0.173979,1524,531.511799
0.016881,1215,533.421235
-0.129121,1454,536.000591
0.268667,1291,538.397302
0.328661,1721,541.359965
-0.034282,1324,543.621083
0.697327,862,555.025303
