Logging to logs\PPO_17
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.85e+03 |
|    ep_rew_mean     | 0.167    |
| time/              |          |
|    fps             | 506      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 8192     |
---------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2e+03     |
|    ep_rew_mean          | 0.128     |
| time/                   |           |
|    fps                  | 412       |
|    iterations           | 2         |
|    time_elapsed         | 39        |
|    total_timesteps      | 16384     |
| train/                  |           |
|    approx_kl            | 0.0233551 |
|    clip_fraction        | 0.172     |
|    clip_range           | 0.2       |
|    entropy_loss         | -8.31     |
|    explained_variance   | -0.481    |
|    learning_rate        | 0.0001    |
|    loss                 | -0.103    |
|    n_updates            | 10        |
|    policy_gradient_loss | -0.0467   |
|    value_loss           | 0.0125    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.67e+03    |
|    ep_rew_mean          | 0.213       |
| time/                   |             |
|    fps                  | 385         |
|    iterations           | 3           |
|    time_elapsed         | 63          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.039828487 |
|    clip_fraction        | 0.339       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.3        |
|    explained_variance   | -0.842      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.122      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0795     |
|    value_loss           | 0.00306     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.81e+03    |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 376         |
|    iterations           | 4           |
|    time_elapsed         | 87          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.052003123 |
|    clip_fraction        | 0.44        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.28       |
|    explained_variance   | -1.14       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.143      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0948     |
|    value_loss           | 0.00271     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.74e+03    |
|    ep_rew_mean          | 0.213       |
| time/                   |             |
|    fps                  | 369         |
|    iterations           | 5           |
|    time_elapsed         | 110         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.049883284 |
|    clip_fraction        | 0.423       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.25       |
|    explained_variance   | -0.609      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.121      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0851     |
|    value_loss           | 0.00191     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.74e+03   |
|    ep_rew_mean          | 0.227      |
| time/                   |            |
|    fps                  | 357        |
|    iterations           | 6          |
|    time_elapsed         | 137        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.05796663 |
|    clip_fraction        | 0.477      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.26      |
|    explained_variance   | -1.27      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.133     |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.0948    |
|    value_loss           | 0.00159    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.78e+03    |
|    ep_rew_mean          | 0.245       |
| time/                   |             |
|    fps                  | 355         |
|    iterations           | 7           |
|    time_elapsed         | 161         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.070097305 |
|    clip_fraction        | 0.513       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.24       |
|    explained_variance   | -1.08       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.124      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.101      |
|    value_loss           | 0.00132     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.8e+03    |
|    ep_rew_mean          | 0.238      |
| time/                   |            |
|    fps                  | 349        |
|    iterations           | 8          |
|    time_elapsed         | 187        |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.06797121 |
|    clip_fraction        | 0.5        |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.23      |
|    explained_variance   | -1.54      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.128     |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.0956    |
|    value_loss           | 0.000931   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.8e+03    |
|    ep_rew_mean          | 0.248      |
| time/                   |            |
|    fps                  | 348        |
|    iterations           | 9          |
|    time_elapsed         | 211        |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.07762927 |
|    clip_fraction        | 0.535      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.2       |
|    explained_variance   | -1.37      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.129     |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.101     |
|    value_loss           | 0.000775   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.81e+03    |
|    ep_rew_mean          | 0.246       |
| time/                   |             |
|    fps                  | 346         |
|    iterations           | 10          |
|    time_elapsed         | 236         |
|    total_timesteps      | 81920       |
| train/                  |             |
