#{"t_start": 1680618620.87198, "env_id": null}
r,l,t
0.172396,1522,23.302892
0.215157,1729,44.463405
-0.106133,990,56.595346
0.239589,1384,71.922024
0.616802,1088,85.841853
0.182124,1639,105.860745
0.372773,1614,124.700379
0.337773,1712,145.979539
0.289667,999,158.125559
0.581522,1312,173.666402
0.11065,1244,188.797785
-0.037345,1259,203.183863
0.168322,1110,216.892252
0.384908,1783,238.326878
0.192157,1236,253.379182
0.254378,1524,272.167841
0.217157,1155,285.709054
0.544613,1045,298.049871
0.014855,1169,312.199704
0.56377,1324,327.830121
0.130807,1493,346.136159
0.235737,1651,366.020851
0.427182,2137,390.934657
0.294098,1499,408.908319
0.079538,1198,422.826653
-0.011138,919,434.575887
-0.144121,1374,450.201101
0.223564,1619,470.236507
-0.098603,1669,490.373327
0.230688,2060,515.027316
0.263965,1088,528.738161
0.166059,1184,542.741777
0.348808,1691,562.676038
-0.349,729,571.627681
0.49309,1092,584.046355
0.251965,1876,606.83708
0.140314,1328,622.51882
0.039518,954,634.602939
0.126314,1304,650.385392
0.145272,1452,667.750824
0.281984,1593,687.760044
0.511759,971,699.040199
0.330661,1511,717.519882
0.05849,1006,729.725713
0.634962,1309,745.387799
0.154322,1818,768.315628
0.299667,1435,785.29742
-0.15044,830,794.797752
0.124057,1247,810.255299
0.107322,1720,830.838397
0.574468,1481,849.523733
0.245488,1574,868.39626
0.310153,1389,885.334536
0.760836,701,894.186208
-0.089675,1029,906.30513
0.30845,1819,927.653507
-0.167677,1081,939.982949
0.238692,1239,955.472685
0.713327,862,966.057822
0.060994,1537,984.60916
0.312495,1738,1005.742515
0.760115,716,1015.196693
0.144314,1168,1029.330748
0.340773,1699,1049.766897
0.26222,1769,1071.522395
0.043881,1011,1083.705347
0.541584,1278,1098.862244
0.38774,1471,1115.877432
0.491715,1734,1137.184377
0.091139,1600,1156.932526
0.055959,1180,1171.357308
0.630146,1103,1184.208759
0.438972,1674,1204.57023
0.02655,837,1215.514591
0.219714,1109,1229.151381
-0.051422,742,1237.264685
0.063959,1000,1249.668673
0.35297,2024,1273.968409
0.084728,977,1286.28121
0.255589,1400,1303.548777
0.657817,986,1314.819578
0.281667,1370,1331.712425
0.245453,1652,1351.627611
0.127564,977,1363.878344
0.263384,1398,1380.020343
0.166883,1219,1395.622968
0.238384,1869,1419.457619
0.125948,1181,1433.50751
0.2563,1558,1452.138649
0.476226,1515,1470.652444
0.242384,2038,1495.294835
0.271667,1244,1509.449495
0.292799,1577,1529.380485
0.501936,1416,1546.992353
0.259378,1518,1566.679564
0.109344,1667,1588.251473
0.078322,1706,1608.251947
0.266527,1806,1628.681549
0.221277,1442,1645.000496
-0.015295,751,1653.993105
0.622971,1027,1665.608756
0.258876,1468,1682.891933
0.639176,1120,1695.869464
0.149807,1139,1708.70208
0.343773,1532,1726.34507
0.195157,892,1736.62307
0.650528,1214,1750.993565
0.582229,1287,1766.004038
0.72207,854,1776.338469
0.207297,1469,1792.865451
0.524836,1380,1808.872514
0.493108,1549,1826.636618
0.03332,1159,1839.650954
0.567466,1546,1857.125813
0.269598,1191,1870.360229
-0.109489,919,1881.584329
0.31245,1534,1899.376541
0.646916,788,1908.454519
0.17023,1518,1926.040578
0.245783,1559,1944.095603
0.208432,1475,1960.532196
0.26522,1494,1978.375075
0.017959,1657,1997.969935
0.282863,1500,2017.792085
0.248936,1191,2032.799211
0.304308,1927,2055.315802
-0.001942,864,2065.40557
0.44053,1726,2084.261339
-0.129111,1131,2096.989154
0.739513,816,2105.970871
-0.152159,766,2114.511367
0.248688,1657,2133.335035
0.460648,2050,2156.257061
0.277799,1955,2178.442279
0.132314,1328,2193.003462
0.288098,1920,2214.246363
0.055971,1431,2229.962351
0.670597,870,2239.777361
0.262453,1343,2255.350852
0.804379,648,2262.564211
0.461589,1687,2281.30919
0.327495,1463,2297.182932
0.292667,1099,2309.875528
0.311206,1387,2325.519925
0.334538,1604,2342.831898
0.318538,1359,2358.399584
0.335737,1291,2372.851552
0.532607,1411,2388.517809
0.655902,1330,2402.883784
0.262598,1433,2418.620306
0.338843,1447,2435.313242
0.332258,1327,2450.054275
0.484071,1592,2468.519781
0.535557,1252,2481.770509
-0.138121,768,2490.466205
0.541461,1505,2507.456888
0.39797,1616,2525.896877
0.082484,1362,2540.424793
0.678308,1063,2552.782558
0.232589,1223,2565.818486
-0.169677,969,2576.902083
0.56335,1119,2589.521776
-0.011623,1063,2601.099671
0.212014,1247,2615.228793
-0.040422,860,2624.14683
0.263,1348,2639.624866
0.234538,1431,2655.459325
0.374808,1559,2672.709154
-0.10633,682,2680.844079
0.433188,1898,2701.157493
0.10465,1408,2716.678404
0.12265,1126,2729.312251
0.12965,1119,2742.199118
0.244783,1310,2756.417752
0.17123,1161,2769.372818
0.174272,958,2780.526159
0.628399,1068,2792.072413
0.343843,1865,2813.579373
0.030136,1129,2825.334621
0.205157,1157,2838.189454
0.354908,1775,2858.254894
0.682151,944,2869.456588
0.211816,1192,2882.556012
0.625168,974,2893.787935
0.01655,1160,2906.58118
0.586178,1342,2921.119503
0.06687,1179,2933.837887
0.216297,1398,2949.481315
0.774109,593,2956.434278
0.01455,1142,2969.130482
0.336538,1708,2987.821508
0.239876,1133,3000.721571
-0.042113,850,3010.60342
0.459438,1679,3029.533696
-0.042422,1305,3043.882251
0.228688,1604,3062.049128
0.285661,1407,3077.811204
0.467702,1915,3098.272116
0.626783,1028,3110.575127
0.622268,1108,3122.296755
0.210621,1919,3143.747969
0.664333,909,3153.860364
0.685422,1136,3166.762989
0.32345,1970,3189.676392
0.437836,1902,3211.102751
0.523406,1266,3225.849785
0.31545,1435,3241.97972
0.173396,1373,3257.990284
0.330621,1712,3278.097098
0.199157,1761,3297.861813
-0.041345,1102,3311.248034
-0.331,630,3319.015374
0.488108,1627,3338.910869
0.315258,1543,3357.60727
0.444152,2018,3381.116031
-0.04785,1288,3396.67229
0.216167,1442,3414.537832
0.545206,1321,3430.249066
0.227488,1374,3447.174684
0.354661,1501,3465.509533
0.195396,1302,3480.951741
0.307308,1438,3498.014801
0.576108,1549,3516.560165
0.562929,1289,3532.221939
0.235688,1755,3552.667207
0.492166,1691,3571.69738
0.550794,981,3583.19834
0.153272,1391,3598.906538
-0.172979,753,3606.595888
0.640735,1094,3619.204839
0.352,1252,3633.348503
0.531878,1585,3650.888337
-0.20233,1045,3662.484822
0.347808,1687,3681.082377
0.222384,1161,3694.875173
-0.352,626,3701.059359
0.075421,1139,3713.983417
0.624623,987,3725.506836
0.227488,1327,3740.183377
0.55222,1185,3754.328977
0.732741,961,3764.829
0.31958,1767,3784.785966
0.4028,1753,3804.989965
-0.121502,1048,3816.556657
0.427428,1727,3835.453206
0.34894,1777,3855.332822
0.541181,1335,3871.034775
0.54822,1185,3884.01737
0.294206,1110,3896.75926
0.189714,1817,3916.919111
0.550972,1205,3930.024407
0.01555,1088,3942.664376
-0.352,480,3947.289597
0.356843,1091,3959.892842
0.151124,1131,3972.595017
0.058421,1079,3984.092317
0.60689,1218,3997.934518
-0.039298,659,4005.130514
-0.009942,982,4016.521376
0.130238,1429,4032.130841
0.200564,1392,4047.83495
-0.027422,646,4054.936151
0.168701,1395,4070.558639
0.37797,1440,4086.72369
-0.050422,1067,4098.333745
0.31245,1790,4119.228441
0.280924,1526,4136.436162
0.086302,1156,4149.740853
0.168701,932,4160.196851
0.283984,1611,4178.791054
-0.040298,968,4190.368719
0.248053,1541,4207.897536
0.146711,1042,4219.563843
-0.157677,875,4229.838642
0.490745,1695,4248.868936
0.342621,1419,4265.144296
0.273453,1643,4283.885913
